Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
12890;39523;Roxgold Sanu SA;1909;Fortuna Silver Mines Inc;Parent company;Shares/Equity;90.0;;;;Previously held by Roxgold. Roxgold and Fortuna merged in 2021- https://fortunasilver.com/investors/news/fortuna-and-roxgold-complete-combination-to-create-a-global-premier-growth-oriented-intermediate-gold-and-silver-producer/
12893;41671;Wahgnion Gold Operations (WGO);3881;Government of Burkina Faso;Parent company;Shares/Equity;10.0;;;;
12894;41671;Wahgnion Gold Operations (WGO);4733;Endeavour Mining Corporation;Parent company;Shares/Equity;90.0;;;;
12897;39510;Société des Mines de Bélahouro SA;4750;Balaji Group;Parent company;Shares/Equity;90.0;;;;
12898;39510;Société des Mines de Bélahouro SA;3881;Government of Burkina Faso;Parent company;Shares/Equity;10.0;;;;
12900;44002;Zemel'naya kompaniya Cherkizovo LLC;44001;Cherkizovo Group PJSC;Parent company;;;;;;
12904;43692;WBM Romitex LLC;43691;Commerzbank;Tertiary investor/lender;;;;;;
12905;43692;WBM Romitex LLC;43690;Landesbank Baden-Wuerttemberg;Tertiary investor/lender;Debt financing;;;;;
12906;40172;Sino-Lao Chilan Rubber Development Company;2852;Beijing Jinrun Rubber Co. Ltd.;Parent company;;;;;;
12907;40172;Sino-Lao Chilan Rubber Development Company;2051;Government of Laos;Parent company;;;;;;
12908;37963;Unknown (Xishuangbanna Foreign Trade Co., Ltd.);2883;Xishuangbanna Foreign Trade Co., Ltd.;Parent company;;;;;;
12909;37949;Unknown (Flour Lao China);2871;Flour Lao China;Parent company;;;;;;
12921;43838;Hamza Expo Art Textile LLC;43837;Kosimov Gayrat;Parent company;Shares/Equity;100.0;;;;
12922;37822;ZAMPALM;4674;Industrial Development Corporation of Zambia;Parent company;Shares/Equity;90.0;;;;
12923;37822;ZAMPALM;1599;Zambeef Products PLC (Zambeef);Parent company;Shares/Equity;10.0;;;;
12924;44042;Société Forestière et Industrielle de la Doumé (SFID);43586;Rougier Afrique International;Parent company;Shares/Equity;;;;;
12925;38769;S.C. Agro Chirnogi SA;38770;S.C. Maria Group SRL;Parent company;Shares/Equity;100.0;;;;Holding structure
12926;38770;S.C. Maria Group SRL;3725;Jihad El Khalil;Parent company;;;;;;
12927;38770;S.C. Maria Group SRL;3726;Youness Laoun;Parent company;;;;;;
12929;43797;Uchkurgan Textile LLC;43890;DF Industries LLP;Parent company;Shares/Equity;83.0;;;;Offshore entity in Uztex holding
12930;43711;Urg tex LLC;43967;Uznatsbank JSC;Tertiary investor/lender;Debt financing;;8000000.0;;;
12931;43708;Mirzaobod universal trade cluster LLC;43707;Bek cluster LLC;Parent company;;;;;;
12932;43707;Bek cluster LLC;43705;Gratum Trading LP;Parent company;;;;;;
12933;43707;Bek cluster LLC;43706;Trontex LP;Parent company;;;;;;
12934;43799;Uztex Uchkurgan LLC;43800;Hightex Singapore PTE. LTD.;Parent company;Shares/Equity;99.99;;;;
12935;43796;Maritex Industrial LLP;43625;Uztex Group;Parent company;;;;;;Holding structure in Uztex Group
12936;36206;Unknown (Manafea Holding);1610;Manafea Holding;Parent company;Shares/Equity;100.0;;;;
12937;43700;Termiz Jayxun Cluster LLC;43699;Emkad SA;Parent company;;;;;;
12938;43549;JV Silverleafe LLC;43550;Silverleafe International LLC;Parent company;Shares/Equity;;;;;
12939;43698;Global Textile Solutions LLC;43697;LC Global Co.Ltd;Parent company;;;;;;
12940;43696;Ferghana Spinning LLC;43695;Inter Group;Parent company;;;;;;
12941;43694;Textile Technologies Group LLC;43693;Textile Technologies Group;Parent company;;;;;;
12942;43671;Oltin Mato Teks LLC;43670;Ipoteka Bank;Tertiary investor/lender;Debt financing;;;;;loan of $ 5.5 million
12943;43669;Sohib Omad Barakasi LLC;43968;Akbarov family;Parent company;;;;;;
12944;43666;Bo’ston cluster LLC;43767;Unknown from Estonia (Bo'ston cluster LLC);Parent company;;;;;;
12945;43624;Surxon Cotton Textile Cluster LLC;43611;Paraglide Limited;Parent company;;;;;;
12946;43624;Surxon Cotton Textile Cluster LLC;43612;Petromaruz Capital;Parent company;;;;;;
12947;43626;Shovot Textile LLC;43807;Intrade AG;Parent company;Shares/Equity;89.18;;;;
12948;43807;Intrade AG;43625;Uztex Group;Parent company;Shares/Equity;;;;;Holding entity
12949;43667;Marhamat Textile LLC;43971;Fruit Industrials S.A.;Parent company;Shares/Equity;;;;;
12950;43667;Marhamat Textile LLC;43970;Universal Tex JSC;Parent company;Shares/Equity;;;;;
12951;43800;Hightex Singapore PTE. LTD.;43625;Uztex Group;Parent company;;;;;;Holding structure
12952;43627;Swiss Capital International Group AG;43625;Uztex Group;Parent company;Shares/Equity;;;;;Holding structure
12953;43628;Textile Finance Khorezm LLC;43627;Swiss Capital International Group AG;Parent company;Shares/Equity;96.59;;;;
12954;43896;Neusiedler Holdings B.V;43895;Mondi Group plc;Parent company;Shares/Equity;;;;;
12955;44014;China Power International Holding Ltd;4859;China Power Investment Corporation;Parent company;Shares/Equity;100.0;;;;
12956;43911;Sibirskaya Niva LLC;43910;Econiva APK Holding LLC;Parent company;Shares/Equity;100.0;;;;
12958;39035;CNMC Luanshya Copper Mines;4178;China Nonferrous Metal Mining (Group) Co., Ltd;Parent company;Shares/Equity;85.0;;;;
12959;39035;CNMC Luanshya Copper Mines;3663;ZCCM Investments Holdings Plc (ZCCM-IH);Parent company;Shares/Equity;15.0;;;;
12965;43893;Adecoagro Brasil Participações;662;Adecoagro S.A.;Parent company;;;;;;
12966;43834;Bracell;41032;Grupo Royal Golden Eagle RGE;Parent company;;;;;;
12967;44090;SoyuzAgro LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12968;44087;Agrofirm Agrosugar-3 LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12970;44091;Nasha Rodyna LLC (Our Fatherland);42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12971;44095;Kursk Agro LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;;;;;
12972;44084;JSC Urupskiy breeding plant;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12973;44093;Agroservice LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12974;44092;Meliorator LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12975;44096;Agrosugar LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;45.0;;;;
12976;44096;Agrosugar LLC;44092;Meliorator LLC;Parent company;Shares/Equity;55.0;;;;
12977;44094;NPO Meleuz LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12978;39033;Kariba Minerals Limited;3663;ZCCM Investments Holdings Plc (ZCCM-IH);Parent company;Shares/Equity;100.0;;;;
12979;44085;Agrofirm Agrosugar LLC;42122;Agroproduct LLC;Parent company;Shares/Equity;100.0;;;;
12980;36741;Buchanan Renewables (Monrovia) Power Inc;2187;Buchanan Renewables;Parent company;Shares/Equity;100.0;;;;
12982;44100;Prigorodnoye LLC;40044;RUSMOLCO LLC;Parent company;Shares/Equity;100.0;;;;
12983;44101;RAO Troitskoe LLC;40044;RUSMOLCO LLC;Parent company;Shares/Equity;100.0;;;;
12984;44102;Mochaleiskoye LLC;40044;RUSMOLCO LLC;Parent company;Shares/Equity;100.0;;;;
12985;44103;RAO Kondolskoye LLC;40044;RUSMOLCO LLC;Parent company;Shares/Equity;100.0;;;;
12986;44104;Agrocomplex LLC;40044;RUSMOLCO LLC;Parent company;Shares/Equity;100.0;;;;
12987;44105;Pachelmskoe hozyajstvo LLC;40044;RUSMOLCO LLC;Parent company;Shares/Equity;100.0;;;;
12988;44106;Terra Agric Investment BV, Netherlands (TAI);44107;Terra Agric International BV, Netherlands (Terra Agric);Parent company;;;;;;
